城市代码	城市	上级代码	简称	级别	区电话	邮编	拼音
100000	中国																																																																																																																																																																																																																																																											
110000	北京	100000	北京	1		Beijing	
110100	北京市	110000	北京	2	010	100000	Beijing	
110101	东城区	110100	东城	3	010	100010	Dongcheng	
110102	西城区	110100	西城	3	010	100032	Xicheng	
110105	朝阳区	110100	朝阳	3	010	100020	Chaoyang	
110106	丰台区	110100	丰台	3	010	100071	Fengtai	
110107	石景山区	110100	石景山	3	010	100043	Shijingshan	
110108	海淀区	110100	海淀	3	010	100089	Haidian	
110109	门头沟区	110100	门头沟	3	010	102300	Mentougou	
110111	房山区	110100	房山	3	010	102488	Fangshan	
110112	通州区	110100	通州	3	010	101149	Tongzhou	
110113	顺义区	110100	顺义	3	010	101300	Shunyi	
110114	昌平区	110100	昌平	3	010	102200	Changping	
110115	大兴区	110100	大兴	3	010	102600	Daxing	
110116	怀柔区	110100	怀柔	3	010	101400	Huairou	
110117	平谷区	110100	平谷	3	010	101200	Pinggu	
110228	密云县	110100	密云	3	010	101500	Miyun	
110229	延庆县	110100	延庆	3	010	102100	Yanqing	
120000	天津	100000	天津	1		Tianjin	
120100	天津市	120000	天津	2	022	300000	Tianjin	
120101	和平区	120100	和平	3	022	300041	Heping	
120102	河东区	120100	河东	3	022	300171	Hedong	
120103	河西区	120100	河西	3	022	300202	Hexi	
120104	南开区	120100	南开	3	022	300110	Nankai	
120105	河北区	120100	河北	3	022	300143	Hebei	
120106	红桥区	120100	红桥	3	022	300131	Hongqiao	
120110	东丽区	120100	东丽	3	022	300300	Dongli	
120111	西青区	120100	西青	3	022	300380	Xiqing	
120112	津南区	120100	津南	3	022	300350	Jinnan	
120113	北辰区	120100	北辰	3	022	300400	Beichen	
120114	武清区	120100	武清	3	022	301700	Wuqing	
120115	宝坻区	120100	宝坻	3	022	301800	Baodi	
120116	滨海新区	120100	滨海新区	3	022	300451	Binhaixinqu	
120221	宁河县	120100	宁河	3	022	301500	Ninghe	
120223	静海县	120100	静海	3	022	301600	Jinghai	
120225	蓟县	120100	蓟县	3	022	301900	Jixian	
130000	河北省	100000	河北	1		Hebei	
130100	石家庄市	130000	石家庄	2	0311	050011	Shijiazhuang	
130102	长安区	130100	长安	3	0311	050011	Chang'an	
130104	桥西区	130100	桥西	3	0311	050091	Qiaoxi	
130105	新华区	130100	新华	3	0311	050051	Xinhua	
130107	井陉矿区	130100	井陉矿区	3	0311	050100	Jingxingkuangqu	
130108	裕华区	130100	裕华	3	0311	050031	Yuhua	
130109	藁城区	130100	藁城	3	0311	052160	Gaocheng	
130110	鹿泉区	130100	鹿泉	3	0311	050200	Luquan	
130111	栾城区	130100	栾城	3	0311	051430	Luancheng	
130121	井陉县	130100	井陉	3	0311	050300	Jingxing	
130123	正定县	130100	正定	3	0311	050800	Zhengding	
130125	行唐县	130100	行唐	3	0311	050600	Xingtang	
130126	灵寿县	130100	灵寿	3	0311	050500	Lingshou	
130127	高邑县	130100	高邑	3	0311	051330	Gaoyi	
130128	深泽县	130100	深泽	3	0311	052560	Shenze	
130129	赞皇县	130100	赞皇	3	0311	051230	Zanhuang	
130130	无极县	130100	无极	3	0311	052460	Wuji	
130131	平山县	130100	平山	3	0311	050400	Pingshan	
130132	元氏县	130100	元氏	3	0311	051130	Yuanshi	
130133	赵县	130100	赵县	3	0311	051530	Zhaoxian	
130181	辛集市	130100	辛集	3	0311	052360	Xinji	
130183	晋州市	130100	晋州	3	0311	052260	Jinzhou	
130184	新乐市	130100	新乐	3	0311	050700	Xinle	
130200	唐山市	130000	唐山	2	0315	063000	Tangshan	
130202	路南区	130200	路南	3	0315	063000	Lunan	
130203	路北区	130200	路北	3	0315	063000	Lubei	
130204	古冶区	130200	古冶	3	0315	063100	Guye	
130205	开平区	130200	开平	3	0315	063021	Kaiping	
130207	丰南区	130200	丰南	3	0315	063300	Fengnan	
130208	丰润区	130200	丰润	3	0315	064000	Fengrun	
130209	曹妃甸区	130200	曹妃甸	3	0315	063200	Caofeidian	
130223	滦县	130200	滦县	3	0315	063700	Luanxian	
130224	滦南县	130200	滦南	3	0315	063500	Luannan	
130225	乐亭县	130200	乐亭	3	0315	063600	Laoting	
130227	迁西县	130200	迁西	3	0315	064300	Qianxi	
130229	玉田县	130200	玉田	3	0315	064100	Yutian	
130281	遵化市	130200	遵化	3	0315	064200	Zunhua	
130283	迁安市	130200	迁安	3	0315	064400	Qian'an	
130300	秦皇岛市	130000	秦皇岛	2	0335	066000	Qinhuangdao	
130302	海港区	130300	海港	3	0335	066000	Haigang	
130303	山海关区	130300	山海关	3	0335	066200	Shanhaiguan	
130304	北戴河区	130300	北戴河	3	0335	066100	Beidaihe	
130321	青龙满族自治县	130300	青龙	3	0335	066500	Qinglong	
130322	昌黎县	130300	昌黎	3	0335	066600	Changli	
130323	抚宁县	130300	抚宁	3	0335	066300	Funing	
130324	卢龙县	130300	卢龙	3	0335	066400	Lulong	
130400	邯郸市	130000	邯郸	2	0310	056002	Handan	
130402	邯山区	130400	邯山	3	0310	056001	Hanshan	
130403	丛台区	130400	丛台	3	0310	056002	Congtai	
130404	复兴区	130400	复兴	3	0310	056003	Fuxing	
130406	峰峰矿区	130400	峰峰矿区	3	0310	056200	Fengfengkuangqu	
130421	邯郸县	130400	邯郸	3	0310	056101	Handan	
130423	临漳县	130400	临漳	3	0310	056600	Linzhang	
130424	成安县	130400	成安	3	0310	056700	Cheng'an	
130425	大名县	130400	大名	3	0310	056900	Daming	
130426	涉县	130400	涉县	3	0310	056400	Shexian	
130427	磁县	130400	磁县	3	0310	056500	Cixian	
130428	肥乡县	130400	肥乡	3	0310	057550	Feixiang	
130429	永年县	130400	永年	3	0310	057150	Yongnian	
130430	邱县	130400	邱县	3	0310	057450	Qiuxian	
130431	鸡泽县	130400	鸡泽	3	0310	057350	Jize	
130432	广平县	130400	广平	3	0310	057650	Guangping	
130433	馆陶县	130400	馆陶	3	0310	057750	Guantao	
130434	魏县	130400	魏县	3	0310	056800	Weixian	
130435	曲周县	130400	曲周	3	0310	057250	Quzhou	
130481	武安市	130400	武安	3	0310	056300	Wu'an	
130500	邢台市	130000	邢台	2	0319	054001	Xingtai	
130502	桥东区	130500	桥东	3	0319	054001	Qiaodong	
130503	桥西区	130500	桥西	3	0319	054000	Qiaoxi	
130521	邢台县	130500	邢台	3	0319	054001	Xingtai	
130522	临城县	130500	临城	3	0319	054300	Lincheng	
130523	内丘县	130500	内丘	3	0319	054200	Neiqiu	
130524	柏乡县	130500	柏乡	3	0319	055450	Baixiang	
130525	隆尧县	130500	隆尧	3	0319	055350	Longyao	
130526	任县	130500	任县	3	0319	055150	Renxian	
130527	南和县	130500	南和	3	0319	054400	Nanhe	
130528	宁晋县	130500	宁晋	3	0319	055550	Ningjin	
130529	巨鹿县	130500	巨鹿	3	0319	055250	Julu	
130530	新河县	130500	新河	3	0319	055650	Xinhe	
130531	广宗县	130500	广宗	3	0319	054600	Guangzong	
130532	平乡县	130500	平乡	3	0319	054500	Pingxiang	
130533	威县	130500	威县	3	0319	054700	Weixian	
130534	清河县	130500	清河	3	0319	054800	Qinghe	
130535	临西县	130500	临西	3	0319	054900	Linxi	
130581	南宫市	130500	南宫	3	0319	055750	Nangong	
130582	沙河市	130500	沙河	3	0319	054100	Shahe	
130600	保定市	130000	保定	2	0312	071052	Baoding	
130602	新市区	130600	新市	3	0312	071051	Xinshi	
130603	北市区	130600	北市	3	0312	071000	Beishi	
130604	南市区	130600	南市	3	0312	071001	Nanshi	
130621	满城县	130600	满城	3	0312	072150	Mancheng	
130622	清苑县	130600	清苑	3	0312	071100	Qingyuan	
130623	涞水县	130600	涞水	3	0312	074100	Laishui	
130624	阜平县	130600	阜平	3	0312	073200	Fuping	
130625	徐水县	130600	徐水	3	0312	072550	Xushui	
130626	定兴县	130600	定兴	3	0312	072650	Dingxing	
130627	唐县	130600	唐县	3	0312	072350	Tangxian	
130628	高阳县	130600	高阳	3	0312	071500	Gaoyang	
130629	容城县	130600	容城	3	0312	071700	Rongcheng	
130630	涞源县	130600	涞源	3	0312	074300	Laiyuan	
130631	望都县	130600	望都	3	0312	072450	Wangdu	
130632	安新县	130600	安新	3	0312	071600	Anxin	
130633	易县	130600	易县	3	0312	074200	Yixian	
130634	曲阳县	130600	曲阳	3	0312	073100	Quyang	
130635	蠡县	130600	蠡县	3	0312	071400	Lixian	
130636	顺平县	130600	顺平	3	0312	072250	Shunping	
130637	博野县	130600	博野	3	0312	071300	Boye	
130638	雄县	130600	雄县	3	0312	071800	Xiongxian	
130681	涿州市	130600	涿州	3	0312	072750	Zhuozhou	
130682	定州市	130600	定州	3	0312	073000	Dingzhou	
130683	安国市	130600	安国	3	0312	071200	Anguo	
130684	高碑店市	130600	高碑店	3	0312	074000	Gaobeidian	
130700	张家口市	130000	张家口	2	0313	075000	Zhangjiakou	
130702	桥东区	130700	桥东	3	0313	075000	Qiaodong	
130703	桥西区	130700	桥西	3	0313	075061	Qiaoxi	
130705	宣化区	130700	宣化	3	0313	075100	Xuanhua	
130706	下花园区	130700	下花园	3	0313	075300	Xiahuayuan	
130721	宣化县	130700	宣化	3	0313	075100	Xuanhua	
130722	张北县	130700	张北	3	0313	076450	Zhangbei	
130723	康保县	130700	康保	3	0313	076650	Kangbao	
130724	沽源县	130700	沽源	3	0313	076550	Guyuan	
130725	尚义县	130700	尚义	3	0313	076750	Shangyi	
130726	蔚县	130700	蔚县	3	0313	075700	Yuxian	
130727	阳原县	130700	阳原	3	0313	075800	Yangyuan	
130728	怀安县	130700	怀安	3	0313	076150	Huai'an	
130729	万全县	130700	万全	3	0313	076250	Wanquan	
130730	怀来县	130700	怀来	3	0313	075400	Huailai	
130731	涿鹿县	130700	涿鹿	3	0313	075600	Zhuolu	
130732	赤城县	130700	赤城	3	0313	075500	Chicheng	
130733	崇礼县	130700	崇礼	3	0313	076350	Chongli	
130800	承德市	130000	承德	2	0314	067000	Chengde	
130802	双桥区	130800	双桥	3	0314	067000	Shuangqiao	
130803	双滦区	130800	双滦	3	0314	067001	Shuangluan	
130804	鹰手营子矿区	130800	鹰手营子矿区	3	0314	067200	Yingshouyingzikuangqu	
130821	承德县	130800	承德	3	0314	067400	Chengde	
130822	兴隆县	130800	兴隆	3	0314	067300	Xinglong	
130823	平泉县	130800	平泉	3	0314	067500	Pingquan	
130824	滦平县	130800	滦平	3	0314	068250	Luanping	
130825	隆化县	130800	隆化	3	0314	068150	Longhua	
130826	丰宁满族自治县	130800	丰宁	3	0314	068350	Fengning	
130827	宽城满族自治县	130800	宽城	3	0314	067600	Kuancheng	
130828	围场满族蒙古族自治县	130800	围场	3	0314	068450	Weichang	
130900	沧州市	130000	沧州	2	0317	061001	Cangzhou	
130902	新华区	130900	新华	3	0317	061000	Xinhua	
130903	运河区	130900	运河	3	0317	061001	Yunhe	
130921	沧县	130900	沧县	3	0317	061000	Cangxian	
130922	青县	130900	青县	3	0317	062650	Qingxian	
130923	东光县	130900	东光	3	0317	061600	Dongguang	
130924	海兴县	130900	海兴	3	0317	061200	Haixing	
130925	盐山县	130900	盐山	3	0317	061300	Yanshan	
130926	肃宁县	130900	肃宁	3	0317	062350	Suning	
130927	南皮县	130900	南皮	3	0317	061500	Nanpi	
130928	吴桥县	130900	吴桥	3	0317	061800	Wuqiao	
130929	献县	130900	献县	3	0317	062250	Xianxian	
130930	孟村回族自治县	130900	孟村	3	0317	061400	Mengcun	
130981	泊头市	130900	泊头	3	0317	062150	Botou	
130982	任丘市	130900	任丘	3	0317	062550	Renqiu	
130983	黄骅市	130900	黄骅	3	0317	061100	Huanghua	
130984	河间市	130900	河间	3	0317	062450	Hejian	
131000	廊坊市	130000	廊坊	2	0316	065000	Langfang	
131002	安次区	131000	安次	3	0316	065000	Anci	
131003	广阳区	131000	广阳	3	0316	065000	Guangyang	
131022	固安县	131000	固安	3	0316	065500	Gu'an	
131023	永清县	131000	永清	3	0316	065600	Yongqing	
131024	香河县	131000	香河	3	0316	065400	Xianghe	
131025	大城县	131000	大城	3	0316	065900	Daicheng	
131026	文安县	131000	文安	3	0316	065800	Wen'an	
131028	大厂回族自治县	131000	大厂	3	0316	065300	Dachang	
131081	霸州市	131000	霸州	3	0316	065700	Bazhou	
131082	三河市	131000	三河	3	0316	065200	Sanhe	
131100	衡水市	130000	衡水	2	0318	053000	Hengshui	
131102	桃城区	131100	桃城	3	0318	053000	Taocheng	
131121	枣强县	131100	枣强	3	0318	053100	Zaoqiang	
131122	武邑县	131100	武邑	3	0318	053400	Wuyi	
131123	武强县	131100	武强	3	0318	053300	Wuqiang	
131124	饶阳县	131100	饶阳	3	0318	053900	Raoyang	
131125	安平县	131100	安平	3	0318	053600	Anping	
131126	故城县	131100	故城	3	0318	053800	Gucheng	
131127	景县	131100	景县	3	0318	053500	Jingxian	
131128	阜城县	131100	阜城	3	0318	053700	Fucheng	
131181	冀州市	131100	冀州	3	0318	053200	Jizhou	
131182	深州市	131100	深州	3	0318	053800	Shenzhou	
140000	山西省	100000	山西	1		Shanxi	
140100	太原市	140000	太原	2	0351	030082	Taiyuan	
140105	小店区	140100	小店	3	0351	030032	Xiaodian	
140106	迎泽区	140100	迎泽	3	0351	030002	Yingze	
140107	杏花岭区	140100	杏花岭	3	0351	030009	Xinghualing	
140108	尖草坪区	140100	尖草坪	3	0351	030023	Jiancaoping	
140109	万柏林区	140100	万柏林	3	0351	030024	Wanbailin	
140110	晋源区	140100	晋源	3	0351	030025	Jinyuan	
140121	清徐县	140100	清徐	3	0351	030400	Qingxu	
140122	阳曲县	140100	阳曲	3	0351	030100	Yangqu	
140123	娄烦县	140100	娄烦	3	0351	030300	Loufan	
140181	古交市	140100	古交	3	0351	030200	Gujiao	
140200	大同市	140000	大同	2	0352	037008	Datong	
140202	城区	140200	城区	3	0352	037008	Chengqu	
140203	矿区	140200	矿区	3	0352	037003	Kuangqu	
140211	南郊区	140200	南郊	3	0352	037001	Nanjiao	
140212	新荣区	140200	新荣	3	0352	037002	Xinrong	
140221	阳高县	140200	阳高	3	0352	038100	Yanggao	
140222	天镇县	140200	天镇	3	0352	038200	Tianzhen	
140223	广灵县	140200	广灵	3	0352	037500	Guangling	
140224	灵丘县	140200	灵丘	3	0352	034400	Lingqiu	
140225	浑源县	140200	浑源	3	0352	037400	Hunyuan	
140226	左云县	140200	左云	3	0352	037100	Zuoyun	
140227	大同县	140200	大同	3	0352	037300	Datong	
140300	阳泉市	140000	阳泉	2	0353	045000	Yangquan	
140302	城区	140300	城区	3	0353	045000	Chengqu	
140303	矿区	140300	矿区	3	0353	045000	Kuangqu	
140311	郊区	140300	郊区	3	0353	045011	Jiaoqu	
140321	平定县	140300	平定	3	0353	045200	Pingding	
140322	盂县	140300	盂县	3	0353	045100	Yuxian	
140400	长治市	140000	长治	2	0355	046000	Changzhi	
140402	城区	140400	城区	3	0355	046011	Chengqu	
140411	郊区	140400	郊区	3	0355	046011	Jiaoqu	
140421	长治县	140400	长治	3	0355	047100	Changzhi	
140423	襄垣县	140400	襄垣	3	0355	046200	Xiangyuan	
140424	屯留县	140400	屯留	3	0355	046100	Tunliu	
140425	平顺县	140400	平顺	3	0355	047400	Pingshun	
140426	黎城县	140400	黎城	3	0355	047600	Licheng	
140427	壶关县	140400	壶关	3	0355	047300	Huguan	
140428	长子县	140400	长子	3	0355	046600	Zhangzi	
140429	武乡县	140400	武乡	3	0355	046300	Wuxiang	
140430	沁县	140400	沁县	3	0355	046400	Qinxian	
140431	沁源县	140400	沁源	3	0355	046500	Qinyuan	
140481	潞城市	140400	潞城	3	0355	047500	Lucheng	
140500	晋城市	140000	晋城	2	0356	048000	Jincheng	
140502	城区	140500	城区	3	0356	048000	Chengqu	
140521	沁水县	140500	沁水	3	0356	048200	Qinshui	
140522	阳城县	140500	阳城	3	0356	048100	Yangcheng	
140524	陵川县	140500	陵川	3	0356	048300	Lingchuan	
140525	泽州县	140500	泽州	3	0356	048012	Zezhou	
140581	高平市	140500	高平	3	0356	048400	Gaoping	
140600	朔州市	140000	朔州	2	0349	038500	Shuozhou	
140602	朔城区	140600	朔城	3	0349	036000	Shuocheng	
140603	平鲁区	140600	平鲁	3	0349	038600	Pinglu	
140621	山阴县	140600	山阴	3	0349	036900	Shanyin	
140622	应县	140600	应县	3	0349	037600	Yingxian	
140623	右玉县	140600	右玉	3	0349	037200	Youyu	
140624	怀仁县	140600	怀仁	3	0349	038300	Huairen	
140700	晋中市	140000	晋中	2	0354	030600	Jinzhong	
140702	榆次区	140700	榆次	3	0354	030600	Yuci	
140721	榆社县	140700	榆社	3	0354	031800	Yushe	
140722	左权县	140700	左权	3	0354	032600	Zuoquan	
140723	和顺县	140700	和顺	3	0354	032700	Heshun	
